game_id;seed;who_Green;who_Blue;who_won;moves_made;time
0;123;UCT+h;UCT+h_G;UCT+h_G;70.0;276.88887310028076
1;245;UCT+h;UCT+h_G;UCT+h;90.5;358.22434282302856
2;456;UCT+h_G;UCT+h;UCT+h;52.0;205.62188005447388
3;786;UCT+h_G;UCT+h;UCT+h_G;129.5;513.4354498386383
4;999;UCT+h;UCT+h_G;UCT+h;77.5;306.4151759147644
5;567;UCT+h;UCT+h_G;UCT+h;62.5;247.16016793251038
6;582;UCT+h;UCT+h_G;UCT+h;34.5;136.61644077301025
7;11;UCT+h_G;UCT+h;UCT+h_G;92.5;365.8187589645386
8;765;UCT+h;UCT+h_G;UCT+h;141.5;562.1964783668518
9;66;UCT+h;UCT+h_G;UCT+h_G;78.0;308.73829913139343
