game_id;seed;who_Green;who_Blue;who_won;moves_made;time
0;123;PUCT+h;PUCT+h_G;PUCT+h;64.5;254.1275589466095
1;245;PUCT+h;PUCT+h_G;PUCT+h;85.5;337.3171510696411
2;456;PUCT+h_G;PUCT+h;PUCT+h;72.0;284.0859441757202
3;786;PUCT+h_G;PUCT+h;PUCT+h_G;64.5;254.53597378730774
4;999;PUCT+h;PUCT+h_G;PUCT+h_G;98.0;387.6131091117859
5;567;PUCT+h;PUCT+h_G;PUCT+h;66.5;262.45100688934326
6;582;PUCT+h;PUCT+h_G;PUCT+h;44.5;175.65074682235718
7;11;PUCT+h_G;PUCT+h;PUCT+h;84.0;332.5348529815674
8;765;PUCT+h;PUCT+h_G;PUCT+h;80.5;317.7931308746338
9;66;PUCT+h;PUCT+h_G;PUCT+h;140.5;554.7496109008789
