game_id;seed;who_Green;who_Blue;who_won;moves_made;time
0;123;UCT+h_G_3.5;UCT+h_G_20;UCT+h_G_20;70.0;276.2020709514618
1;245;UCT+h_G_3.5;UCT+h_G_20;UCT+h_G_20;73.0;288.9206600189209
2;456;UCT+h_G_20;UCT+h_G_3.5;UCT+h_G_20;93.5;370.52524423599243
3;786;UCT+h_G_20;UCT+h_G_3.5;UCT+h_G_3.5;64.0;252.98497986793518
4;999;UCT+h_G_3.5;UCT+h_G_20;UCT+h_G_20;93.0;368.48255610466003
5;567;UCT+h_G_3.5;UCT+h_G_20;UCT+h_G_20;66.0;260.5476129055023
6;582;UCT+h_G_3.5;UCT+h_G_20;UCT+h_G_20;86.0;339.77848386764526
7;11;UCT+h_G_20;UCT+h_G_3.5;UCT+h_G_3.5;84.0;331.7909948825836
8;765;UCT+h_G_3.5;UCT+h_G_20;UCT+h_G_3.5;87.5;347.02651500701904
9;66;UCT+h_G_3.5;UCT+h_G_20;UCT+h_G_3.5;59.5;235.92759108543396
