game_id;C_value;G_value;who_won;moves_made;time
0;3.5;1.1;MCTS;73.0;144.7138900756836
1;3.5;1.1;MCTS;59.0;116.58575701713562
2;3.5;1.1;MCTS;310.0;612.2307648658752
3;3.5;1.1;MCTS;169.0;333.9682559967041
4;3.5;1.1;MCTS;84.0;166.31747198104858
5;3.5;1.1;MCTS;122.0;241.13796615600586
6;3.5;1.1;MCTS;376.0;744.2423541545868
7;3.5;1.1;MCTS;102.0;201.79859018325806
8;3.5;1.1;MCTS;68.0;134.5169219970703
9;3.5;1.1;MCTS;75.0;148.3381221294403
0;3.5;2;MCTS;36.0;71.31089901924133
1;3.5;2;MCTS;115.0;227.99795293807983
2;3.5;2;MCTS;326.0;644.426992893219
3;3.5;2;MCTS;88.0;174.01492404937744
4;3.5;2;MCTS;82.0;162.3791527748108
5;3.5;2;MCTS;101.0;199.85965013504028
6;3.5;2;MCTS;163.0;323.07004404067993
7;3.5;2;MCTS;122.0;241.11154103279114
8;3.5;2;MCTS;114.0;225.5834093093872
9;3.5;2;MCTS;112.0;221.07118010520935
0;3.5;3.5;MCTS;72.0;142.5998079776764
1;3.5;3.5;MCTS;95.0;187.94363808631897
2;3.5;3.5;MCTS;68.0;134.83830976486206
3;3.5;3.5;MCTS;115.0;227.8362910747528
4;3.5;3.5;MCTS;102.0;201.70595622062683
5;3.5;3.5;MCTS;74.0;146.33296704292297
6;3.5;3.5;MCTS;77.0;NA
7;3.5;3.5;MCTS;120.5;237.27006888389587
8;3.5;3.5;MCTS;163.0;322.21151995658875
9;3.5;3.5;MCTS;98.0;201.71338820457458
0;3.5;5;MCTS;127.0;251.66786193847656
1;3.5;5;MCTS;114.5;225.7948920726776
2;3.5;5;MCTS;90.0;NA
3;3.5;5;MCTS;105.0;207.80758118629456
4;3.5;5;MCTS;123.0;243.14650011062622
5;3.5;5;MCTS;124.0;245.31904101371765
6;3.5;5;MCTS;74.0;146.64501905441284
7;3.5;5;MCTS;219.0;433.3379979133606
8;3.5;5;MCTS;72.0;142.53636288642883
9;3.5;5;MCTS;14.0;27.821805238723755
0;3.5;7;MCTS;21.5;41.65347480773926
1;3.5;7;MCTS;34.0;67.543781042099
2;3.5;7;MCTS;59.0;116.64484214782715
3;3.5;7;MCTS;135.0;267.3373980522156
4;3.5;7;MCTS;345.0;682.5017211437225
5;3.5;7;MCTS;51.0;101.05156302452087
6;3.5;7;MCTS;105.0;207.68705010414124
7;3.5;7;MCTS;310.0;613.1854300498962
8;3.5;7;MCTS;147.0;290.75040006637573
9;3.5;7;MCTS;265.0;523.6218428611755
0;3.5;10;MCTS;105.0;207.20409607887268
1;3.5;10;MCTS;50.0;98.95567393302917
2;3.5;10;MCTS;79.0;156.17693901062012
3;3.5;10;MCTS;101.0;200.0614788532257
4;3.5;10;MCTS;167.0;330.558562040329
5;3.5;10;MCTS;68.0;134.24939584732056
6;3.5;10;MCTS;108.0;213.8585000038147
7;3.5;10;MCTS;115.0;227.4650900363922
8;3.5;10;MCTS;152.0;301.0545883178711
9;3.5;10;MCTS;62.0;122.3754141330719
0;3.5;20;MCTS;91.0;640.1428790092468
1;3.5;20;MCTS;62.0;122.61640810966492
2;3.5;20;MCTS;57.0;112.69855904579163
3;3.5;20;MCTS;42.0;83.27350902557373
4;3.5;20;MCTS;132.0;261.30657601356506
5;3.5;20;MCTS;14.0;27.841347694396973
6;3.5;20;MCTS;52.0;102.90420722961426
7;3.5;20;MCTS;53.0;104.95271897315979
8;3.5;20;MCTS;185.0;366.50500106811523
9;3.5;20;MCTS;113.0;NA
