game_id;seed;who_Green;who_Blue;who_won;moves_made;time
0;123;UCT+h_sqrt2;UCT+h_3.5;UCT+h_sqrt2;72.5;286.6590368747711
1;245;UCT+h_sqrt2;UCT+h_3.5;UCT+h_sqrt2;93.5;368.88332509994507
2;456;UCT+h_3.5;UCT+h_sqrt2;UCT+h_sqrt2;67.0;278.33828806877136
3;786;UCT+h_3.5;UCT+h_sqrt2;UCT+h_3.5;55.5;219.46069812774658
4;999;UCT+h_sqrt2;UCT+h_3.5;UCT+h_sqrt2;62.5;246.85422897338867
5;567;UCT+h_sqrt2;UCT+h_3.5;UCT+h_3.5;73.0;288.2797586917877
6;582;UCT+h_sqrt2;UCT+h_3.5;UCT+h_sqrt2;57.5;227.73577094078064
7;11;UCT+h_3.5;UCT+h_sqrt2;UCT+h_sqrt2;76.0;299.3328721523285
8;765;UCT+h_sqrt2;UCT+h_3.5;UCT+h_3.5;66.0;261.3452868461609
9;66;UCT+h_sqrt2;UCT+h_3.5;UCT+h_3.5;111.0;438.45461416244507
