game_id;C_value;G_value;who_won;moves_made;time
0;1;NULL;MCTS;153.0;226.08145999908447
1;1;NULL;MCTS;198.0;290.49054408073425
2;1;NULL;MCTS;75.0;110.43032765388489
3;1;NULL;MCTS;60.0;88.84310483932495
4;1;NULL;MCTS;164.0;242.1188359260559
5;1;NULL;MCTS;56.0;82.42050576210022
6;1;NULL;MCTS;145.0;213.88703322410583
7;1;NULL;MCTS;67.0;99.10852098464966
8;1;NULL;MCTS;219.0;323.8175621032715
9;1;NULL;MCTS;84.0;124.31105208396912
0;1.4142135623730951;NULL;MCTS;173.0;254.83549189567566
1;1.4142135623730951;NULL;MCTS;153.0;226.05498099327087
2;1.4142135623730951;NULL;MCTS;100.0;148.0505199432373
3;1.4142135623730951;NULL;MCTS;92.0;136.08217406272888
4;1.4142135623730951;NULL;MCTS;NA;NA
5;1.4142135623730951;NULL;MCTS;109.0;161.02990913391113
6;1.4142135623730951;NULL;MCTS;40.0;59.207133293151855
7;1.4142135623730951;NULL;MCTS;90.0;133.01210188865662
8;1.4142135623730951;NULL;MCTS;164.0;242.13051319122314
9;1.4142135623730951;NULL;MCTS;50.0;73.99770498275757
0;2;NULL;MCTS;50.0;74.08529996871948
1;2;NULL;MCTS;232.0;343.03126311302185
2;2;NULL;MCTS;24.0;35.624006271362305
3;2;NULL;MCTS;167.0;246.85527229309082
4;2;NULL;MCTS;265.0;390.3631818294525
5;2;NULL;MCTS;169.0;249.50429582595825
6;2;NULL;MCTS;49.0;72.38860511779785
7;2;NULL;MCTS;105.0;154.71233797073364
8;2;NULL;MCTS;41.0;60.655537843704224
9;2;NULL;MCTS;207.0;306.65949630737305
0;3.5;NULL;MCTS;51.0;75.4416298866272
1;3.5;NULL;MCTS;64.0;94.36198091506958
2;3.5;NULL;MCTS;84.5;124.27110385894775
3;3.5;NULL;MCTS;101.0;149.4003939628601
4;3.5;NULL;MCTS;58.0;86.11380887031555
5;3.5;NULL;MCTS;53.0;78.42275404930115
6;3.5;NULL;MCTS;132.0;195.2761583328247
7;3.5;NULL;MCTS;71.0;104.82672929763794
8;3.5;NULL;MCTS;73.0;107.93560910224915
9;3.5;NULL;MCTS;55.0;81.28680109977722
0;5;NULL;MCTS;241.0;356.17249727249146
1;5;NULL;MCTS;112.0;171.85249400138855
2;5;NULL;MCTS;131.0;193.65798902511597
3;5;NULL;MCTS;59.0;87.4431300163269
4;5;NULL;MCTS;144.0;213.03677105903625
5;5;NULL;MCTS;113.0;NA
6;5;NULL;MCTS;109.0;NA
7;5;NULL;MCTS;732.0;1049.9542021751404
8;5;NULL;MCTS;NA;NA
9;5;NULL;MCTS;760.0;1100.6194288730621
